Date, Real Date, Net Count, Capture, Aggressive Capture
Fold 1
04/10/14, ,-41.0, 0.17453979947856263, 0.17604633352112317
01/03/14, ,-13.0, 0.03579349924256498, 0.0357667621223317
12/18/13, ,-1.0, 0.1417506441025239, 0.14203116977212324
06/25/14, ,-84.0, -0.8570580425334989, -0.8624221395891072
04/30/14, ,-59.0, 0.1678334493564179, 0.16959019918212467
04/22/14, ,-57.0, 0.14563988349101364, 0.14714820673292867
01/07/14, ,-10.0, 0.12101891529049333, 0.12112437211531019
06/19/14, ,-78.0, -0.7369274419757179, -0.7421249285735669
06/03/14, ,-66.0, -0.6876696550776024, -0.6926086333293099
03/26/14, ,-36.0, 0.21573586758685903, 0.2170923634573713
01/27/14, ,-15.0, 0.11723472326604492, 0.11678408584234924
04/02/14, ,-46.0, 0.16950049774123999, 0.17077744964885683
03/03/14, ,-30.0, 0.2677017722080727, 0.26783899516673104
01/16/14, ,-11.0, 0.1497632664496732, 0.14993060180622592
06/27/14, ,-82.0, -0.7669992721862717, -0.7721990421939637
03/13/14, ,-28.0, 0.32438481819396076, 0.32438609027944026
02/20/14, ,-27.0, 0.21507612474082322, 0.21497920040193785
12/19/13, ,1.0, 0.1733494935041475, 0.17363711917367117
02/19/14, ,-30.0, 0.18454334435456185, 0.18439904443488028
05/01/14, ,-60.0, 0.16993467180893687, 0.17170258018465592
07/03/14, ,-90.0, -0.7726153867150067, -0.7778054041911945
01/01/14, ,-12.0, 0.06938523050871483, 0.06936336622229186
01/22/14, ,-11.0, 0.164689928421226, 0.16487187452101665
01/17/14, ,-11.0, 0.15627792443012922, 0.15645202511712705
06/18/14, ,-75.0, -0.7321296352587885, -0.7373199834914737
04/28/14, ,-57.0, 0.18349154883030205, 0.1852503071566226
05/05/14, ,-60.0, 0.18355801792497953, 0.18539105550532498
02/06/14, ,-25.0, 0.11741212574895948, 0.11713019679396809
03/10/14, ,-29.0, 0.33312234933438434, 0.33328060746348187
06/13/14, ,-71.0, -0.6644870234203695, -0.669480380386036
03/31/14, ,-45.0, 0.1741512121498588, 0.1753401744999825
04/23/14, ,-57.0, 0.17296228786259824, 0.17463089684345093
06/16/14, ,-72.0, -0.6644870234203695, -0.669480380386036
12/10/13, ,-1.0, 0.030353578586287743, 0.030462120196524452
05/13/14, ,-58.0, 0.2923402747929006, 0.29426669817056494
06/10/14, ,-69.0, -0.812914409967097, -0.8180228332313338
01/23/14, ,-13.0, 0.1613778067828228, 0.16154111725920006
01/29/14, ,-18.0, 0.09296994203172891, 0.09238837959053303
02/26/14, ,-29.0, 0.2736819073042017, 0.27383656679040896
06/30/14, ,-86.0, -0.7755397724386279, -0.7807430411344455
01/30/14, ,-20.0, 0.06466617223938849, 0.06398422119201505
03/25/14, ,-35.0, 0.24696353880483907, 0.24828688927542883
12/27/13, ,-6.0, 0.09393192754876778, 0.09406564643009425
05/21/14, ,-61.0, 0.1886638168034544, 0.19022455798563417
04/16/14, ,-54.0, 0.12217498862552889, 0.12366147558686147
05/15/14, ,-57.0, 0.3226204723874491, 0.32458399686436723
12/23/13, ,-4.0, 0.10869902339497524, 0.10883601556509051
05/20/14, ,-56.0, 0.3274669534290607, 0.32925807237387367
02/11/14, ,-29.0, 0.16556594736467048, 0.1653500356660416
05/23/14, ,-61.0, 0.19219265785894774, 0.19375664133193923
06/20/14, ,-79.0, -0.7323658606275172, -0.7375170538349933
03/14/14, ,-33.0, 0.19925301619144323, 0.19897503048884493
05/30/14, ,-66.0, 0.20758346310974987, 0.20917058166622968
01/21/14, ,-11.0, 0.16402986241462536, 0.1642102626014858
07/01/14, ,-87.0, -0.781551796486724, -0.7867623003807942
02/28/14, ,-31.0, 0.2647176352518923, 0.2648422080267858
06/05/14, ,-70.0, -0.83399877339246, -0.8391379534386396
06/12/14, ,-67.0, -0.6818283778482804, -0.6868825979701876
12/31/13, ,-11.0, 0.06938523050871483, 0.06936336622229186
05/29/14, ,-63.0, 0.20269333685122132, 0.20429300266316686
06/06/14, ,-72.0, -0.83399877339246, -0.8391379534386396
06/04/14, ,-67.0, -0.7694781345806272, -0.7745299632562567
04/01/14, ,-45.0, 0.16950049774123999, 0.17077744964885683
05/02/14, ,-59.0, 0.183464305336085, 0.18529020366811624
02/27/14, ,-31.0, 0.2603698091649357, 0.2604397204856133
04/17/14, ,-54.0, 0.1258056620053774, 0.1272944742251958
03/27/14, ,-40.0, 0.18309877544047962, 0.18440801012698577
12/17/13, ,-1.0, 0.06714525114618136, 0.06721800868939576
02/21/14, ,-27.0, 0.21672066092391654, 0.216634643109089
02/10/14, ,-27.0, 0.18075756876259663, 0.18057135767314816
02/03/14, ,-21.0, 0.12577913809745622, 0.12555691097382324
05/07/14, ,-56.0, 0.27220568450773663, 0.2743103221694667
12/03/13, ,1.0, 0.004271568183289086, 0.00427507556368271
05/16/14, ,-55.0, 0.33740122079041657, 0.3393685234005879
03/28/14, ,-39.0, 0.1924011010218749, 0.19371294654612503
12/16/13, ,0.0, 0.0687112746991756, 0.06878481621888811
12/11/13, ,-1.0, 0.029404394071574153, 0.02942455120909487
12/12/13, ,0.0, 0.029830288449768275, 0.029850638688034108
01/10/14, ,-9.0, 0.1276868170901003, 0.12781387671183658
12/24/13, ,-5.0, 0.1008704813005194, 0.10100367817113998
06/11/14, ,-67.0, -0.6991938508442135, -0.7042740722014591
06/09/14, ,-70.0, -0.8212231458439934, -0.8263533133952278
02/05/14, ,-22.0, 0.1280973110393401, 0.12785866900974877
04/09/14, ,-42.0, 0.1659550292732976, 0.1674256426901258
