Date, Real Date, Net Count, Capture, Aggressive Capture
Fold 1
03/17/15, ,-103.0, -0.5689374931679719, -0.5613251074338761
12/29/14, ,-83.0, -0.6244728077872763, -0.6167643305639765
12/03/14, ,-78.0, -0.661957566482836, -0.654140973405039
02/24/15, ,-96.0, -0.5294169490470954, -0.5215448072784266
07/24/14, ,-7.0, -0.06786697777843799, -0.0681480938307432
08/20/14, ,-14.0, -0.0498859749271585, -0.049975995504307716
02/13/15, ,-92.0, -0.5134171385258108, -0.5054971312366816
09/24/14, ,-23.0, -0.06836966747558648, -0.04645590197161039
01/29/15, ,-88.0, -0.5263856245869818, -0.5185002204607587
08/18/14, ,-17.0, -0.061368034999037535, -0.06146667873453163
12/19/14, ,-83.0, -0.6182374211905614, -0.6104480475462193
09/17/14, ,-13.0, 5.431857915670687E-4, 0.022650044010998235
01/21/15, ,-85.0, -0.5090428476825967, -0.5011603668932911
09/10/14, ,-12.0, 0.021651358134906373, 0.04376278048821106
11/06/14, ,-71.0, -0.7654891752303999, -0.7580309489384867
08/05/14, ,-4.0, -0.036521348508973116, -0.0367289232590456
08/06/14, ,-6.0, 1.804166516638228E-4, 2.3164292439817324E-4
03/02/15, ,-100.0, -0.5626210648628905, -0.5548519451170901
07/22/14, ,-9.0, -0.08470877000682805, -0.08501756521738509
09/30/14, ,-30.0, -0.8385028744014095, -0.8308877777033993
02/26/15, ,-97.0, -0.5294169490470954, -0.5215448072784266
10/23/14, ,-49.0, -0.5577653023806848, -0.5496838317927839
03/19/15, ,-102.0, -0.5809470165341867, -0.5733103883943566
01/12/15, ,-83.0, -0.5172284627300426, -0.5095765204261931
11/12/14, ,-76.0, -0.7799424476476207, -0.7722650376672872
12/12/14, ,-80.0, -0.5903735037034623, -0.5823778178162118
01/16/15, ,-85.0, -0.5161492212113553, -0.5082678408317599
02/27/15, ,-99.0, -0.5436395813887767, -0.5357806353222917
01/14/15, ,-86.0, -0.5526654408123317, -0.5450838332021519
12/17/14, ,-81.0, -0.5747593961576767, -0.566775909665809
02/20/15, ,-95.0, -0.519098420558984, -0.5112155657688651
07/23/14, ,-8.0, -0.07555928547074565, -0.07585033397919955
11/04/14, ,-67.0, -0.7345345337719608, -0.7266450833060463
03/05/15, ,-100.0, -0.5370047477595292, -0.5291719740794899
08/27/14, ,-16.0, -0.07957456364393693, -0.0796742036170748
09/22/14, ,-19.0, -0.025849695802164008, -0.0038563008308597716
08/11/14, ,-10.0, -0.04958145303508262, -0.04963412393368254
12/15/14, ,-82.0, -0.6124765563254303, -0.6045252771222895
09/26/14, ,-26.0, -0.09579954646775232, -0.07391606445332739
10/28/14, ,-57.0, -0.5990301307374829, -0.5909953932449832
11/25/14, ,-73.0, -0.6920377640444412, -0.6842496254552842
08/29/14, ,-16.0, -0.04957221220533106, -0.049597109951609895
09/29/14, ,-29.0, -0.7761733068127847, -0.7684472509683457
08/12/14, ,-12.0, -0.050136700120035516, -0.05018952822733774
11/03/14, ,-65.0, -0.7345345337719608, -0.7266450833060463
