Date, Real Date, Net Count, Capture, Aggressive Capture
Fold 1
04/24/12, ,-14.0, -0.028828006353460833, -0.029172287647251237
04/18/12, ,-13.0, -0.021890283978799895, -0.022096100475979562
07/26/12, ,-55.0, -0.3760908966142164, -0.3787442671754067
03/22/13, ,-117.0, -0.6489916291463476, -0.6517839280386714
08/15/12, ,-59.0, -0.2888941533017, -0.29122513367293584
03/15/12, ,1.0, 0.04043952541180782, 0.040717538442292533
10/02/12, ,-81.0, -0.41221568233489936, -0.4149304641117869
10/19/12, ,-84.0, -0.38208488553242037, -0.3848665172491455
02/13/13, ,-114.0, -0.5204554533441274, -0.5226939017655232
12/12/12, ,-96.0, -0.4143119625724918, -0.416166207299543
08/31/12, ,-67.0, -0.39455077217118567, -0.39725756134469764
01/10/13, ,-108.0, -0.5270845608269794, -0.5292790904527461
07/25/12, ,-55.0, -0.41709618761950734, -0.41984224547855026
05/17/12, ,-27.0, 0.005887764505211727, 0.005468134153382941
09/26/12, ,-78.0, -0.3846230177994449, -0.38724095186810203
11/21/12, ,-95.0, -0.3879720363155722, -0.39061492325749503
08/01/12, ,-53.0, -0.31001197165595024, -0.3126227516936374
03/27/13, ,-119.0, -0.6685869473259485, -0.671329940127801
01/07/13, ,-105.0, -0.5197321518652458, -0.5217132879592042
06/15/12, ,-43.0, -0.2630431881913831, -0.26414083072529393
07/17/12, ,-49.0, -0.33331898082872424, -0.3355723460421346
02/08/13, ,-114.0, -0.5564439758281688, -0.5586488601830013
11/27/12, ,-96.0, -0.32661672496026073, -0.328280458906751
02/14/13, ,-115.0, -0.5213128411692203, -0.5235524495716782
08/13/12, ,-58.0, -0.2888941533017, -0.29122513367293584
04/12/12, ,-12.0, -0.014273701359908374, -0.014435942501625519
08/24/12, ,-65.0, -0.38979870642073877, -0.3925175564021353
06/07/12, ,-43.0, -0.2793491466983005, -0.28041890346798876
05/18/12, ,-28.0, 0.005887764505211727, 0.005468134153382941
02/28/13, ,-120.0, -0.6883264927426607, -0.6913196084966793
03/14/13, ,-113.0, -0.6154886429870873, -0.6182772423025111
12/14/12, ,-97.0, -0.3828552523416644, -0.38465410286815194
05/01/12, ,-16.0, -8.720349771216759E-4, -0.001340080447894399
03/15/13, ,-116.0, -0.6925080352607168, -0.6954315917973501
03/04/13, ,-120.0, -0.6846659231540417, -0.6876431611812621
06/19/12, ,-42.0, -0.24727742242561748, -0.2483735607262129
02/11/13, ,-115.0, -0.5541321041319378, -0.5563372478198972
09/06/12, ,-70.0, -0.39114694140121925, -0.3938319855958628
05/04/12, ,-20.0, -0.015740173075045376, -0.016190654902174625
10/12/12, ,-83.0, -0.42144953018705783, -0.4242500979043776
01/29/13, ,-104.0, -0.48046359598866356, -0.4824361132246755
01/28/13, ,-103.0, -0.4770560994963805, -0.47902280962416144
09/24/12, ,-78.0, -0.397154288067211, -0.3998487424133983
03/20/12, ,-2.0, 0.03563183310411545, 0.0359062104909524
05/25/12, ,-35.0, -0.17682355010993625, -0.17778974569449127
10/17/12, ,-82.0, -0.41893476952302416, -0.42173169408210726
